Date,DateIndex,FilePath,ML,RaDiUS,Mixed,RD
00000001,0,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000001.soc,2.333333333333332,2.030418903800708,2.197726771514588,2.180626780626776
00000002,1,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000002.soc,2.0499999999999994,2.040107194066045,2.045529371242567,2.2882882882882885
00000003,2,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000003.soc,1.9999999999999991,2.020899534526551,1.9986902085796352,2.3220512820512806
00000004,3,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000004.soc,1.9411764705882335,2.0092913734871174,1.930107775239736,2.3610526315789464
00000005,4,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000005.soc,1.9729729729729715,2.033134726393467,2.0001503099026854,2.3052631578947382
00000006,5,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000006.soc,1.6999999999999993,1.7389764732756847,1.6949934848774457,2.5294117647058765
00000007,6,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000007.soc,1.9411764705882335,1.8100729619434766,1.8537220153340992,2.3955555555555526
00000008,7,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000008.soc,1.9090909090909078,1.8615600731783044,1.8286477123806684,2.3750000000000004
00000009,8,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000009.soc,1.272727272727272,1.2709566673476718,1.2719346207950561,2.782312925170065
00000010,9,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000010.soc,1.222222222222222,1.2215297187848682,1.2219122072442885,2.82857142857143
00000011,10,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000011.soc,1.1702127659574464,1.1717921941284621,1.1709262533330567,2.8880000000000017
00000012,11,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000012.soc,1.9090909090909083,1.8085738843436543,1.8286677889586564,2.411458333333333
00000013,12,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000013.soc,1.1224489795918375,1.1230552232749047,1.1227227480376507,2.9038461538461493
00000014,13,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000014.soc,1.1739130434782612,1.1727904253453643,1.1734059144551454,2.840000000000001
00000015,14,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000015.soc,1.1304347826086958,1.179185264415344,1.1300935976465702,2.877551020408165
00000016,15,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000016.soc,1.0,1.0,1.0,1.0
00000017,16,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000017.soc,1.0416666666666672,1.1869759280855798,1.083704044041994,2.9591836734693895
00000018,17,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000018.soc,1.6315789473684215,1.5975520399301648,1.6023968970203317,2.582857142857141
00000019,18,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000019.soc,1.0,1.0,1.0,1.0
00000020,19,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000020.soc,1.0416666666666672,1.1869759280855798,1.0837040440419945,2.9591836734693895
00000021,20,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000021.soc,1.7999999999999987,1.7388800790965686,1.7430725687189974,2.4948979591836737
00000022,21,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000022.soc,1.7428571428571418,1.711946364121036,1.6951833893193209,2.494047619047622
00000023,22,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000023.soc,1.5945945945945927,1.5795314300053716,1.569467793411304,2.5763888888888933
00000024,23,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000024.soc,1.041666666666667,1.1869759280855783,1.0837040440419954,2.959183673469389
00000025,24,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000025.soc,1.042553191489362,1.0425469528964135,1.0425503722252194,2.9583333333333313
00000026,25,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000026.soc,1.0416666666666672,1.18697592808558,1.0837040440419943,2.9591836734693895
00000027,26,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000027.soc,1.042553191489362,1.0425469528964135,1.0425503722252194,2.9583333333333313
00000028,27,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000028.soc,1.040816326530613,1.1581488294716302,1.0714418011314975,2.9600000000000013
00000029,28,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000029.soc,1.7428571428571418,1.7656513881438904,1.6951228154154467,2.458333333333334
00000030,29,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000030.soc,1.0416666666666672,1.18697592808558,1.0837040440419943,2.9591836734693895
00000031,30,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000031.soc,1.333333333333333,1.3287887795256978,1.3312988600406452,2.7142857142857157
00000032,31,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000032.soc,1.0,1.0,1.0,1.0
00000033,32,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000033.soc,1.0,1.0,1.0,1.0
00000034,33,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000034.soc,1.9411764705882335,1.875993197470401,1.853543148002684,2.3600000000000008
00000035,34,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000035.soc,2.0,1.84568598070942,1.8986534086980256,2.3700980392156867
00000036,35,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000036.soc,2.0,1.8456859807094201,1.8986534086980256,2.3700980392156867
00000037,36,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000037.soc,1.0,1.0,1.0,1.0
00000038,37,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000038.soc,1.0,1.0,1.0,1.0
00000039,38,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000039.soc,2.0,1.897680038764763,1.8985830151964567,2.3333333333333335
00000040,39,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000040.soc,1.0,1.0,1.0,1.0
00000041,40,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000041.soc,1.0,1.0,1.0,1.0
00000042,41,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000042.soc,1.0,1.0,1.0,1.0
00000043,42,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000043.soc,2.0,1.897680038764763,1.8985830151964567,2.3333333333333335
00000044,43,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000044.soc,1.9999999999999998,1.897680038764763,1.8985830151964567,2.3333333333333335
00000045,44,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000045.soc,2.0,1.897680038764763,1.8985830151964567,2.3333333333333335
00000046,45,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000046.soc,1.0,1.0,1.0,1.0
00000047,46,/Users/henrychen/Downloads/EmperorAiphaton/EmperorAiphaton-MetricDistortion-4872305/spotifyday/00047-00000047.soc,2.0,1.897680038764763,1.8985830151964564,2.3333333333333335
